list_no,date,region,kind,title,start,end,max_mw,min_mw,solar_mw,wind_mw,reason,url
72052,2024-03-23,제주,실적,제주 출력제한 실적 공지 [ 2024년 3월 23일(토) ],11:41,14:05,739.4,549.2,81.7,,"전력망 제약, 전력수급 제약",https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72052&tag=&nPage=35
72072,2024-03-27,제주,전망,제주 출력제한 전망 안내 [ 2024년 3월 27일(수) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72072&tag=&nPage=35
72099,2024-03-26,제주,실적,제주 출력제한 실적 공지 [ 2024년 3월 26일(화) ],14:03,16:29,876,620,,61.5,"전력망 제약, 전력수급 제약",https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72099&tag=&nPage=35
72139,2024-03-29,제주,전망,제주 출력제한 전망 안내 [ 2024년 3월 29일(금) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72139&tag=&nPage=34
72150,2024-03-30,제주,전망,제주 출력제한 전망 안내 [ 2024년 3월 30일(토) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72150&tag=&nPage=34
72156,2024-03-29,제주,실적,제주 출력제한 실적 공지 [ 2024년 3월 29일(금) ],09:52,15:43,804,587,,285.03,"전력망 제약, 전력수급 제약",https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72156&tag=&nPage=34
72158,2024-03-30,제주,실적,제주 출력제한 실적 공지 [ 2024년 3월 30일(토) ],09:02,16:23,751,538,120.5,247.5,"전력망 제약, 전력수급 제약",https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72158&tag=&nPage=34
72166,2024-04-01,제주,실적,제주 출력제한 실적 공지 [ 2024년 4월 1일(월) ],10:37,14:59,819.3,546,103.2,51,"전력망 제약, 전력수급 제약",https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72166&tag=&nPage=34
72183,2024-04-07,육지,전망,육지 출력제한 전망 안내 [ 2024년 4월 7일(일) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72183&tag=&nPage=34
72184,2024-04-07,제주,전망,제주 출력제한 전망안내 [ 2024년 04월 07일(일) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72184&tag=&nPage=34
72187,2024-04-07,제주,실적,제주 출력제한 실적 공지 [ 2024년 4월 7일(일) ],09:24,14:54,779,515,151,139,"전력망 제약, 전력수급 제약",https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72187&tag=&nPage=34
72192,2024-04-09,제주,전망,제주 출력제한 전망안내 [ 2024년 04월 09일(화) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72192&tag=&nPage=34
72209,2024-04-10,제주,전망,제주 출력제한 전망안내 [ 2024년 04월 10일(수) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72209&tag=&nPage=34
72211,2024-04-10,제주,실적,제주 출력제한 실적 공지 [ 2024년 04월 10일(수) ],11:32,14:31,797,506,40.9,245,"전력망 제약, 전력수급 제약",https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72211&tag=&nPage=33
72225,2024-04-14,제주,전망,제주 출력제한 전망안내 [ 2024년 04월 14일(일) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72225&tag=&nPage=33
72226,2024-04-14,제주,실적,제주 출력제한 실적 공지 [ 2024년 04월 14일(일) ],11:32,12:20,721,529,,42.5,"전력망 제약, 전력수급 제약",https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72226&tag=&nPage=33
72233,2024-04-16,제주,전망,제주 출력제한 전망안내 [ 2024년 04월 16일(화) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72233&tag=&nPage=33
72249,2024-04-17,제주,전망,제주 출력제한 전망안내 [ 2024년 04월 17일(수) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72249&tag=&nPage=33
72254,2024-04-16,제주,실적,제주 출력제한 실적 공지 [ 2024년 04월 16일(화) ],11:49,14:29,777,545,13.85,25.79,"전력망 제약, 전력수급 제약",https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72254&tag=&nPage=33
72262,2024-04-18,제주,전망,제주 출력제한 전망안내 [ 2024년 04월 18일(목) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72262&tag=&nPage=33
72287,2024-04-19,제주,전망,제주 출력제한 전망안내 [ 2024년 04월 19일(금) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72287&tag=&nPage=33
72290,2024-04-18,제주,실적,제주 출력제한 실적 공지 [ 2024년 04월 18일(목) ],08:38,13:27,796,541,56.54,279.53,"전력망 제약, 전력수급 제약",https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72290&tag=&nPage=33
72327,2024-04-24,제주,전망,제주 출력제한 전망안내 [ 2024년 04월 24일(수) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72327&tag=&nPage=33
72334,2024-04-25,제주,전망,제주 출력제한 전망안내 [ 2024년 04월 25일(목) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72334&tag=&nPage=32
72336,2024-04-24,제주,실적,제주 출력제한 실적 공지 [ 2024년 04월 24일(수) ],09:54,13:45,796,556,35.1,280,"전력망 제약, 전력수급 제약",https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72336&tag=&nPage=32
72349,2024-04-25,제주,실적,제주 출력제한 실적 공지 [ 2024년 04월 25일(목) ],11:45,14:04,786,540,18.6,78.2,"전력망 제약, 전력수급 제약",https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72349&tag=&nPage=32
72352,2024-04-27,제주,전망,제주 출력제한 전망안내 [ 2024년 04월 27일(토) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72352&tag=&nPage=32
72356,2024-04-28,제주,전망,제주 출력제한 전망안내 [ 2024년 04월 28일(일) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72356&tag=&nPage=32
72357,2024-04-27,제주,실적,제주 출력제한 실적 공지 [ 2024년 04월 27일(토) ],10:27,14:49,739,515,77.7,157.7,"전력망 제약, 전력수급 제약",https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72357&tag=&nPage=32
72400,2024-05-02,제주,전망,제주 출력제한 전망안내 [ 2024년 05월 02일(목) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72400&tag=&nPage=32
72408,2024-05-03,제주,전망,제주 출력제한 전망안내 [ 2024년 05월 03일(금) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72408&tag=&nPage=32
72410,2024-05-02,제주,실적,제주 출력제한 실적 공지 [ 2024년 05월 02일(목) ],10:26,14:19,776,537,25.0,277.9,"전력망 제약, 전력수급 제약",https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72410&tag=&nPage=32
72417,2024-05-04,제주,전망,제주 출력제한 전망안내 [ 2024년 05월 04일(토) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72417&tag=&nPage=32
